Code,"Subdivision name[note 1]
(National 1958 = ISO 7098:2015 = UN III/8 1977)","Subdivision name (zh)
[note 2]",Subdivision category
CN-AH,Anhui Sheng,安徽省 (Ānhuī Shěng),province
CN-BJ,Beijing Shi,北京市 (Běijīng Shì),municipality
CN-CQ,Chongqing Shi,重庆市 (Chóngqìng Shì),municipality
CN-FJ,Fujian Sheng,福建省 (Fújiàn Shěng),province
CN-GD,Guangdong Sheng,广东省 (Guǎngdōng Shěng),province
CN-GS,Gansu Sheng,甘肃省 (Gānsù Shěng),province
CN-GX,Guangxi Zhuangzu Zizhiqu,广西壮族自治区 (Guǎngxī Zhuàngzú Zìzhìqū),autonomous region
CN-GZ,Guizhou Sheng,贵州省 (Guìzhōu Shěng),province
CN-HA,Henan Sheng,河南省 (Hénán Shěng),province
CN-HB,Hubei Sheng,湖北省 (Húběi Shěng),province
CN-HE,Hebei Sheng,河北省 (Héběi Shěng),province
CN-HI,Hainan Sheng,海南省 (Hǎinán Shěng),province
CN-HK,"Hong Kong SAR (en)
Xianggang Tebiexingzhengqu (zh)",香港特别行政区 (Xiānggǎng Tèbiéxíngzhèngqū),special administrative region
CN-HL,Heilongjiang Sheng,黑龙江省 (Hēilóngjiāng Shěng),province
CN-HN,Hunan Sheng,湖南省 (Húnán Shěng),province
CN-JL,Jilin Sheng,吉林省 (Jílín Shěng),province
CN-JS,Jiangsu Sheng,江苏省 (Jiāngsū Shěng),province
CN-JX,Jiangxi Sheng,江西省 (Jiāngxī Shěng),province
CN-LN,Liaoning Sheng,辽宁省 (Liáoníng Shěng),province
CN-MO,"Macao SAR (en)
Macau SAR (pt)
Aomen Tebiexingzhengqu (zh)",澳门特别行政区 (Àomén Tèbiéxíngzhèngqū),special administrative region
CN-NM,Nei Mongol Zizhiqu,内蒙古自治区 (Nèi Ménggǔ Zìzhìqū),autonomous region
CN-NX,Ningxia Huizu Zizhiqu,宁夏回族自治区 (Níngxià Huízú Zìzhìqū),autonomous region
CN-QH,Qinghai Sheng,青海省 (Qīnghǎi Shěng),province
CN-SC,Sichuan Sheng,四川省 (Sìchuān Shěng),province
CN-SD,Shandong Sheng,山东省 (Shāndōng Shěng),province
CN-SH,Shanghai Shi,上海市 (Shànghǎi Shì),municipality
CN-SN,Shaanxi Sheng,陕西省 (Shǎnxī Shěng),province
CN-SX,Shanxi Sheng,山西省 (Shānxī Shěng),province
CN-TJ,Tianjin Shi,天津市 (Tiānjīn Shì),municipality
CN-TW,Taiwan Sheng,台湾省 (Táiwān Shěng),province
CN-XJ,Xinjiang Uygur Zizhiqu,新疆维吾尔自治区 (Xīnjiāng Wéiwú'ěr Zìzhìqū),autonomous region
CN-XZ,Xizang Zizhiqu,西藏自治区 (Xīzàng Zìzhìqū),autonomous region
CN-YN,Yunnan Sheng,云南省 (Yúnnán Shěng),province
CN-ZJ,Zhejiang Sheng,浙江省 (Zhèjiāng Shěng),province
